data from https://data.oecd.org/interest/long-term-interest-rates.htm#indicator-chart,,,,,,,
LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,LTINT,TOT,PC_PA,M,1982-04,15.2,
AUS,LTINT,TOT,PC_PA,M,1982-05,16.4,
AUS,LTINT,TOT,PC_PA,M,1982-06,16.4,
AUS,LTINT,TOT,PC_PA,M,1982-07,16.4,
AUS,LTINT,TOT,PC_PA,M,1982-08,16.5,
AUS,LTINT,TOT,PC_PA,M,1982-09,15.2,
AUS,LTINT,TOT,PC_PA,M,1982-10,14.55,
AUS,LTINT,TOT,PC_PA,M,1982-11,14.6,
AUS,LTINT,TOT,PC_PA,M,1982-12,14,
AUS,LTINT,TOT,PC_PA,M,1983-01,13,
AUS,LTINT,TOT,PC_PA,M,1983-02,13.6,
AUS,LTINT,TOT,PC_PA,M,1983-03,14.4,
AUS,LTINT,TOT,PC_PA,M,1983-04,14.1,
AUS,LTINT,TOT,PC_PA,M,1983-05,13.1,
AUS,LTINT,TOT,PC_PA,M,1983-06,14.7,
AUS,LTINT,TOT,PC_PA,M,1983-07,14.8,
AUS,LTINT,TOT,PC_PA,M,1983-08,14.7,
AUS,LTINT,TOT,PC_PA,M,1983-09,14.15,
AUS,LTINT,TOT,PC_PA,M,1983-10,13.4,
AUS,LTINT,TOT,PC_PA,M,1983-11,13.2,
AUS,LTINT,TOT,PC_PA,M,1983-12,13.5,
AUS,LTINT,TOT,PC_PA,M,1984-01,13.5,
AUS,LTINT,TOT,PC_PA,M,1984-02,14,
AUS,LTINT,TOT,PC_PA,M,1984-03,14.1,
AUS,LTINT,TOT,PC_PA,M,1984-04,13.9,
AUS,LTINT,TOT,PC_PA,M,1984-05,14.15,
AUS,LTINT,TOT,PC_PA,M,1984-06,13.75,
AUS,LTINT,TOT,PC_PA,M,1984-07,13.15,
AUS,LTINT,TOT,PC_PA,M,1984-08,12.8,
AUS,LTINT,TOT,PC_PA,M,1984-09,13.1,
AUS,LTINT,TOT,PC_PA,M,1984-10,13.2,
AUS,LTINT,TOT,PC_PA,M,1984-11,13.25,
AUS,LTINT,TOT,PC_PA,M,1984-12,13.4,
AUS,LTINT,TOT,PC_PA,M,1985-01,13.1,
AUS,LTINT,TOT,PC_PA,M,1985-02,13.7,
AUS,LTINT,TOT,PC_PA,M,1985-03,13.8,
AUS,LTINT,TOT,PC_PA,M,1985-04,13.95,
AUS,LTINT,TOT,PC_PA,M,1985-05,13.8,
AUS,LTINT,TOT,PC_PA,M,1985-06,13.5,
AUS,LTINT,TOT,PC_PA,M,1985-07,13.4,
AUS,LTINT,TOT,PC_PA,M,1985-08,13.95,
AUS,LTINT,TOT,PC_PA,M,1985-09,13.8,
AUS,LTINT,TOT,PC_PA,M,1985-10,14.55,
AUS,LTINT,TOT,PC_PA,M,1985-11,15.05,
AUS,LTINT,TOT,PC_PA,M,1985-12,14.85,
AUS,LTINT,TOT,PC_PA,M,1986-01,14.1,
AUS,LTINT,TOT,PC_PA,M,1986-02,13.7,
AUS,LTINT,TOT,PC_PA,M,1986-03,12.6,
AUS,LTINT,TOT,PC_PA,M,1986-04,12.25,
AUS,LTINT,TOT,PC_PA,M,1986-05,12.65,
AUS,LTINT,TOT,PC_PA,M,1986-06,12.95,
AUS,LTINT,TOT,PC_PA,M,1986-07,14.2,
AUS,LTINT,TOT,PC_PA,M,1986-08,14.1,
AUS,LTINT,TOT,PC_PA,M,1986-09,13.85,
AUS,LTINT,TOT,PC_PA,M,1986-10,13.6,
AUS,LTINT,TOT,PC_PA,M,1986-11,13.6,
AUS,LTINT,TOT,PC_PA,M,1986-12,13.4,
AUS,LTINT,TOT,PC_PA,M,1987-01,13.8,
AUS,LTINT,TOT,PC_PA,M,1987-02,14,
AUS,LTINT,TOT,PC_PA,M,1987-03,13.45,
AUS,LTINT,TOT,PC_PA,M,1987-04,13.05,
AUS,LTINT,TOT,PC_PA,M,1987-05,13,
